,Peak,Name,Citizenship,Sex,Age,Oxy,Dth,Host,Year,Season,Month,Day,Time
0,EVER,Tenzing Norgay ,India,M,39,Yes,No,Nepal,1953,Spr,May,29,11:30
1,EVER,Edmund Percival Hillary,New Zealand,M,33,Yes,No,Nepal,1953,Spr,May,29,11:30
2,EVER,Juerg P. Marmet,Switzerland,M,28,Yes,No,Nepal,1956,Spr,May,23,14:00
3,EVER,Ernst Schmied,Switzerland,M,31,Yes,No,Nepal,1956,Spr,May,23,14:00
4,EVER,Adolf (Dolf) Reist,Switzerland,M,35,Yes,No,Nepal,1956,Spr,May,24,11:00
5,EVER,Hans-Rudolf Von Gunten,Switzerland,M,27,Yes,No,Nepal,1956,Spr,May,24,11:00
6,EVER,Gombu (Konbu) ,China,M,25,Yes,No,China,1960,Spr,May,25,2:05
7,EVER,Ying-Hua Qu,China,M,25,Yes,No,China,1960,Spr,May,25,2:05
8,EVER,Fu-Chou Wang,China,M,24,Yes,No,China,1960,Spr,May,25,2:05
9,EVER,Nawang Gombu ,India,M,26,Yes,No,Nepal,1963,Spr,May,1,13:00
10,EVER,James W. (Jim) Whittaker,USA,M,34,Yes,No,Nepal,1963,Spr,May,1,13:00
11,EVER,Barry Chapman Bishop,USA,M,31,Yes,No,Nepal,1963,Spr,May,22,15:30
12,EVER,Luther Gerald (Lute) Jerstad,USA,M,26,Yes,No,Nepal,1963,Spr,May,22,15:30
13,EVER,Thomas Frederick Hornbein,USA,M,32,Yes,No,Nepal,1963,Spr,May,22,18:30
14,EVER,William Francis (Willi) Unsoeld,USA,M,36,Yes,No,Nepal,1963,Spr,May,22,18:30
15,EVER,Nawang Gombu ,India,M,28,Yes,No,Nepal,1965,Spr,May,20,9:30
16,EVER,Autar Singh Cheema,India,M,27,Yes,No,Nepal,1965,Spr,May,20,9:30
17,EVER,Sonam Gyatso ,India,M,42,Yes,No,Nepal,1965,Spr,May,22,12:30
18,EVER,Sonam Wangyal ,India,M,23,Yes,No,Nepal,1965,Spr,May,22,12:30
19,EVER,Ang Kami Sherpa,India,M,NaN,Yes,No,Nepal,1965,Spr,May,24,10:45
20,EVER,C. P. Vohra,India,M,30,Yes,No,Nepal,1965,Spr,May,24,10:45
21,EVER,Hari Pal Singh Ahluwalia,India,M,27,Yes,No,Nepal,1965,Spr,May,29,10:00
22,EVER,Harish Chandra Singh Rawat,India,M,30,Yes,No,Nepal,1965,Spr,May,29,10:00
23,EVER,"Phu Dorje Sherpa (Khumjung, Khumbu)",Nepal,M,27,Yes,No,Nepal,1965,Spr,May,29,10:00
24,EVER,Teruo Matsuura,Japan,M,36,Yes,No,Nepal,1970,Spr,May,11,9:10
25,EVER,Naomi Uemura,Japan,M,29,Yes,No,Nepal,1970,Spr,May,11,9:10
26,EVER,Katsutoshi Hirabayashi,Japan,M,35,Yes,No,Nepal,1970,Spr,May,12,9:55
27,EVER,"Chotare Sherpa (Namche Bazar, Khumbu)",Nepal,M,37,Yes,No,Nepal,1970,Spr,May,12,9:55
28,EVER,Rinaldo Carrel,Italy,M,21,Yes,No,Nepal,1973,Spr,May,5,12:39
29,EVER,Mirko Minuzzo,Italy,M,26,Yes,No,Nepal,1973,Spr,May,5,12:39
30,EVER,"Lhakpa Tenzing Sherpa (Namche Bazar, Khumbu)",Nepal,M,32,Yes,No,Nepal,1973,Spr,May,5,12:39
31,EVER,"Shambu Tamang (Lisankhu, Sindhupalchowk)",Nepal,M,17,Yes,No,Nepal,1973,Spr,May,5,12:39
32,EVER,Claudio Benedetti,Italy,M,27,Yes,No,Nepal,1973,Spr,May,7,13:00
33,EVER,Virginio Epis,Italy,M,41,Yes,No,Nepal,1973,Spr,May,7,13:00
34,EVER,Fabrizio Innamorati,Italy,M,30,Yes,No,Nepal,1973,Spr,May,7,13:00
35,EVER,"Sonam Gyaltzen Sherpa (Bagam, Taksindu, Solukhumbu)",Nepal,M,29,Yes,No,Nepal,1973,Spr,May,7,13:00
36,EVER,Hisashi Ishiguro,Japan,M,28,Yes,No,Nepal,1973,Aut,Oct,26,16:30
37,EVER,Yasuo Kato,Japan,M,24,Yes,No,Nepal,1973,Aut,Oct,26,16:30
38,EVER,"Ang Tshering Sherpa (Namche Bazar, Khumbu)",Nepal,M,25,Yes,No,Nepal,1975,Spr,May,16,12:30
39,EVER,Junko Tabei,Japan,F,35,Yes,No,Nepal,1975,Spr,May,16,12:30
40,EVER,Da Phuntsok (Darphuntso) ,China,M,30,Yes,No,China,1975,Spr,May,27,12:15
41,EVER,Kunga Pasang (Gonga Basang) ,China,M,27,Yes,No,China,1975,Spr,May,27,12:15
42,EVER,Lhotse (Louze) ,China,M,36,Yes,No,China,1975,Spr,May,27,12:15
43,EVER,Ngapo Khyen (Abu Qin) ,China,M,18,Yes,No,China,1975,Spr,May,27,12:15
44,EVER,"Phantog (Phandu, Pando) ",China,F,36,Yes,No,China,1975,Spr,May,27,12:15
45,EVER,Samdrup (Samdruk) ,China,M,22,Yes,No,China,1975,Spr,May,27,12:15
46,EVER,Sonam Norbu ,China,M,28,Yes,No,China,1975,Spr,May,27,12:15
47,EVER,Tsering Tobgyal ,China,M,NaN,Yes,No,China,1975,Spr,May,27,12:15
48,EVER,Sheng-Fu Hou,China,M,35,Yes,No,China,1975,Spr,May,27,12:30
49,EVER,Dougal Haston,UK,M,33,Yes,No,Nepal,1975,Aut,Sep,24,18:00
50,EVER,Douglas Keith (Doug) Scott,UK,M,34,Yes,No,Nepal,1975,Aut,Sep,24,18:00
51,EVER,Peter David Boardman,UK,M,24,Yes,No,Nepal,1975,Aut,Sep,26,13:10
52,EVER,"Pertemba Sherpa (Khumjung, Khumbu)",Nepal,M,27,Yes,No,Nepal,1975,Aut,Sep,26,13:10
53,EVER,Michael P. (Bronco) Lane,UK,M,30,Yes,No,Nepal,1976,Spr,May,16,15:15
54,EVER,John Henry (Brummie) Stokes,UK,M,30,Yes,No,Nepal,1976,Spr,May,16,15:15
55,EVER,Chris Howard Chandler,USA,M,28,Yes,No,Nepal,1976,Aut,Oct,8,16:14
56,EVER,Robert (Bob) Cormack,USA,M,30,Yes,No,Nepal,1976,Aut,Oct,8,16:14
57,EVER,Sang-Don Ko,S Korea,M,28,Yes,No,Nepal,1977,Aut,Sep,15,12:50
58,EVER,"Pemba Nurbu/Norbu Sherpa (Namche Bazar, Khumbu)",Nepal,M,28,Yes,No,Nepal,1977,Aut,Sep,15,12:50
59,EVER,Horst Bergmann,Austria,M,36,Yes,No,Nepal,1978,Spr,May,3,12:50
60,EVER,Wolfgang Nairz,Austria,M,33,Yes,No,Nepal,1978,Spr,May,3,12:50
61,EVER,Hans Robert Schauer,Austria,M,24,Yes,No,Nepal,1978,Spr,May,3,12:50
62,EVER,"Ang Phu Sherpa (Khumjung, Khumbu)",Nepal,M,27,Yes,No,Nepal,1978,Spr,May,3,12:50
63,EVER,Peter Habeler,Austria,M,35,No,No,Nepal,1978,Spr,May,8,13:15
64,EVER,Reinhold Messner,Italy,M,33,No,No,Nepal,1978,Spr,May,8,13:15
65,EVER,Reinhard Karl,W Germany,M,31,Yes,No,Nepal,1978,Spr,May,11,
66,EVER,Oswald Oelz,Austria,M,35,Yes,No,Nepal,1978,Spr,May,11,
67,EVER,Franz Oppurg,Austria,M,29,Yes,No,Nepal,1978,Spr,May,14,
68,EVER,Josef Mack,W Germany,M,28,Yes,No,Nepal,1978,Aut,Oct,14,16:30
69,EVER,Hubert Hillmaier,W Germany,M,34,Yes,No,Nepal,1978,Aut,Oct,14,17:00
70,EVER,Hans Engl,W Germany,M,34,No,No,Nepal,1978,Aut,Oct,14,17:15
71,EVER,Jean Afanassieff,France,M,25,Yes,No,Nepal,1978,Aut,Oct,15,13:35
72,EVER,Nicolas Jaeger,France,M,31,Yes,No,Nepal,1978,Aut,Oct,15,13:35
73,EVER,Kurt Diemberger,Austria,M,46,Yes,No,Nepal,1978,Aut,Oct,15,13:45
74,EVER,Pierre Mazeaud,France,M,49,Yes,No,Nepal,1978,Aut,Oct,15,13:45
75,EVER,Robert Allenbach,Switzerland,M,28,Yes,No,Nepal,1978,Aut,Oct,16,13:45
76,EVER,Siegfried (Sigi) Hupfauer,W Germany,M,37,Yes,No,Nepal,1978,Aut,Oct,16,13:45
77,EVER,Wilhelm Klimek,W Germany,M,37,Yes,No,Nepal,1978,Aut,Oct,16,13:45
78,EVER,Wanda Rutkiewicz,Poland,F,35,Yes,No,Nepal,1978,Aut,Oct,16,13:45
79,EVER,"Ang Dorje Sherpa (Thamo, Khumbu)",Nepal,M,29,No,No,Nepal,1978,Aut,Oct,16,13:45
80,EVER,"Ang Kami Sherpa (Tsermadingma, Solukhumbu)",Nepal,M,NaN,Yes,No,Nepal,1978,Aut,Oct,16,13:45
81,EVER,"Mingma Nuru Sherpa (Khumjung, Khumbu)",Nepal,M,NaN,No,No,Nepal,1978,Aut,Oct,16,13:45
82,EVER,Bernd Kullmann,W Germany,M,24,Yes,No,Nepal,1978,Aut,Oct,17,
83,EVER,Georg Ritter,W Germany,M,31,Yes,No,Nepal,1978,Aut,Oct,17,
84,EVER,Andrej Stremfelj,Yugoslavia,M,22,Yes,No,Nepal,1979,Spr,May,13,13:51
85,EVER,Jernej (Nejc) Zaplotnik,Yugoslavia,M,27,Yes,No,Nepal,1979,Spr,May,13,13:51
86,EVER,Stanislav (Stane) Belak-Srauf,Yugoslavia,M,38,Yes,No,Nepal,1979,Spr,May,15,14:30
87,EVER,Stipe Bozic,Yugoslavia,M,28,Yes,No,Nepal,1979,Spr,May,15,14:30
88,EVER,"Ang Phu Sherpa (Khumjung, Khumbu)",Nepal,M,28,Yes,Yes,Nepal,1979,Spr,May,15,14:30
89,EVER,Gerhard Schmatz,W Germany,M,50,Yes,No,Nepal,1979,Aut,Oct,1,14:00
90,EVER,"Lhakpa Gyalzen/Gyalu Sherpa (Phortse, Khumbu)",Nepal,M,30,Yes,No,Nepal,1979,Aut,Oct,1,14:00
91,EVER,"Pertemba Sherpa (Khumjung, Khumbu)",Nepal,M,31,Yes,No,Nepal,1979,Aut,Oct,1,14:00
92,EVER,Johann (Hans) Von Kaenel,Switzerland,M,38,Yes,No,Nepal,1979,Aut,Oct,1,14:00
93,EVER,Hermann Warth,W Germany,M,38,Yes,No,Nepal,1979,Aut,Oct,1,14:00
94,EVER,Nicholas Victor Aloysius (Nick) Banks,New Zealand,M,27,Yes,No,Nepal,1979,Aut,Oct,2,13:00
95,EVER,Tilman Fischbach,W Germany,M,31,Yes,No,Nepal,1979,Aut,Oct,2,13:00
96,EVER,Raymond Edward (Ray) Genet,USA,M,48,Yes,Yes,Nepal,1979,Aut,Oct,2,13:00
97,EVER,Guenter Kaempfe,W Germany,M,46,Yes,No,Nepal,1979,Aut,Oct,2,13:00
98,EVER,Hannelore Schmatz,W Germany,F,39,Yes,Yes,Nepal,1979,Aut,Oct,2,13:00
99,EVER,"Ang Jangbu (Ang Jambu) Sherpa (Pangboche, Khumbu)",Nepal,M,21,Yes,No,Nepal,1979,Aut,Oct,2,13:00
100,EVER,"Ang Phurba Sherpa (Namche Bazar, Khumbu)",Nepal,M,22,Yes,No,Nepal,1979,Aut,Oct,2,13:00
101,EVER,"Sungdare Sherpa (Pangboche, Khumbu)",Nepal,M,24,Yes,No,Nepal,1979,Aut,Oct,2,13:00
102,EVER,Leszek Cichy,Poland,M,28,Yes,No,Nepal,1979,Win,Feb,17,14:30
103,EVER,Krzysztof Wielicki,Poland,M,30,Yes,No,Nepal,1979,Win,Feb,17,14:30
104,EVER,Yasuo Kato,Japan,M,31,Yes,No,China,1980,Spr,May,3,20:55
105,EVER,Tsuneo Shigehiro,Japan,M,32,Yes,No,China,1980,Spr,May,10,16:50
106,EVER,Takashi Ozaki,Japan,M,27,Yes,No,China,1980,Spr,May,10,17:02
107,EVER,"Pasang Temba Sherpa (Ghat, Khumbu)",Nepal,M,29,Yes,No,Nepal,1980,Spr,May,14,15:30
108,EVER,Martin Zabaleta Larburu,Spain,M,30,Yes,No,Nepal,1980,Spr,May,14,15:30
109,EVER,Andrzej (Leszek) Czok,Poland,M,31,Yes,No,Nepal,1980,Spr,May,19,16:00
110,EVER,Jerzy Kukuczka,Poland,M,32,Yes,No,Nepal,1980,Spr,May,19,16:00
111,EVER,Reinhold Messner,Italy,M,35,No,No,China,1980,Sum,Aug,20,13:00
112,EVER,Christopher M. (Kris) Kopczynski,USA,M,33,Yes,No,Nepal,1981,Aut,Oct,21,11:29
113,EVER,"Sungdare Sherpa (Pangboche, Khumbu)",Nepal,M,26,Yes,No,Nepal,1981,Aut,Oct,21,11:29
114,EVER,Christopher J. (Chris) Pizzo,USA,M,32,Yes,No,Nepal,1981,Aut,Oct,24,12:30
115,EVER,"Young/Yong Tenzing Sherpa (Namche Bazar, Khumbu)",Nepal,M,28,Yes,No,Nepal,1981,Aut,Oct,24,12:30
116,EVER,Peter Harvey Hackett,USA,M,33,Yes,No,Nepal,1981,Aut,Oct,24,15:30
117,EVER,Vladimir Sergeevich Balyberdin,USSR,M,32,No,No,Nepal,1982,Spr,May,4,14:35
118,EVER,Eduard Vikentevich Myslovsky,USSR,M,44,Yes,No,Nepal,1982,Spr,May,4,14:35
119,EVER,Sergei Igorevich Bershov,USSR,M,35,Yes,No,Nepal,1982,Spr,May,4,23:30
120,EVER,Mikhail Mikhailovich Turkevich,USSR,M,29,Yes,No,Nepal,1982,Spr,May,4,23:30
121,EVER,Sergei Borisovich Efimov,USSR,M,38,Yes,No,Nepal,1982,Spr,May,5,13:20
122,EVER,Valentin Andreevich Ivanov,USSR,M,40,Yes,No,Nepal,1982,Spr,May,5,13:20
123,EVER,Valeri Nikolaevich Khrishchati,USSR,M,30,Yes,No,Nepal,1982,Spr,May,8,13:40
124,EVER,Kazbek Shakimovich Valiev,USSR,M,29,Yes,No,Nepal,1982,Spr,May,8,13:40
125,EVER,Yuri Fedorovich Golodov,USSR,M,38,Yes,No,Nepal,1982,Spr,May,9,11:00
126,EVER,Valeri Vasipevich Khomutov,USSR,M,40,Yes,No,Nepal,1982,Spr,May,9,11:00
127,EVER,Vladimir Nikolaevich Puchkov,USSR,M,33,Yes,No,Nepal,1982,Spr,May,9,11:00
128,EVER,"Lhakpa Dorje Sherpa (Khunde, Khumbu)",Nepal,M,27,Yes,No,Nepal,1982,Aut,Oct,5,9:30
129,EVER,"Sungdare Sherpa (Pangboche, Khumbu)",Nepal,M,27,Yes,No,Nepal,1982,Aut,Oct,5,9:30
130,EVER,Laurie Skreslet,Canada,M,32,Yes,No,Nepal,1982,Aut,Oct,5,9:30
131,EVER,Patrick (Pat) Morrow,Canada,M,29,Yes,No,Nepal,1982,Aut,Oct,7,11:30
132,EVER,"Lhakpa Tshering Sherpa (Khunde, Khumbu)",Nepal,M,26,Yes,No,Nepal,1982,Aut,Oct,7,11:30
133,EVER,"Pema Dorje Sherpa (Khumjung, Khumbu)",Nepal,M,24,Yes,No,Nepal,1982,Aut,Oct,7,11:30
134,EVER,Yasuo Kato,Japan,M,33,Yes,Yes,Nepal,1982,Win,Dec,27,15:55
135,EVER,David Finlay Breashears,USA,M,27,Yes,No,Nepal,1983,Spr,May,7,16:00
136,EVER,Peter Jamieson,USA,M,27,Yes,No,Nepal,1983,Spr,May,7,16:00
137,EVER,Gerard A. (Gerry) Roach,USA,M,39,Yes,No,Nepal,1983,Spr,May,7,16:00
138,EVER,"Ang Rita Sherpa (Yilajung, Khumbu)",Nepal,M,34,Yes,No,Nepal,1983,Spr,May,7,16:00
139,EVER,Lawrence Darius (Larry) Nielson,USA,M,35,No,No,Nepal,1983,Spr,May,7,16:20
140,EVER,Gary Robert Neptune,USA,M,37,Yes,No,Nepal,1983,Spr,May,14,13:30
141,EVER,"Lhakpa Dorje Sherpa (Phortse, Khumbu)",Nepal,M,25,Yes,No,Nepal,1983,Spr,May,14,13:30
142,EVER,James H. (Jim) States,USA,M,37,Yes,No,Nepal,1983,Spr,May,14,13:30
143,EVER,Carlos Paltenghe Rockhold Buhler,USA,M,28,Yes,No,China,1983,Aut,Oct,8,14:45
144,EVER,Kim A. Momb,USA,M,27,Yes,No,China,1983,Aut,Oct,8,14:45
145,EVER,Louis French (Lou) Reichardt,USA,M,41,Yes,No,China,1983,Aut,Oct,8,14:45
146,EVER,Haruyuki Endo,Japan,M,26,No,No,Nepal,1983,Aut,Oct,8,16:30
147,EVER,Haruichi Kawamura,Japan,M,35,No,No,Nepal,1983,Aut,Oct,8,16:30
148,EVER,Shomi Suzuki,Japan,M,30,No,No,Nepal,1983,Aut,Oct,8,16:30
149,EVER,Hironobu Kamuro,Japan,M,31,No,Yes,Nepal,1983,Aut,Oct,8,16:50
150,EVER,Hiroshi Yoshino,Japan,M,33,No,Yes,Nepal,1983,Aut,Oct,8,16:50
151,EVER,George Henry Lowe,USA,M,39,Yes,No,China,1983,Aut,Oct,9,10:30
152,EVER,Jay L. Cassell,USA,M,35,Yes,No,China,1983,Aut,Oct,9,14:30
153,EVER,Daniel Allen (Dan) Reid,USA,M,41,Yes,No,China,1983,Aut,Oct,9,14:30
154,EVER,Takashi Ozaki,Japan,M,31,Yes,No,Nepal,1983,Win,Dec,16,8:00
155,EVER,Noboru Yamada,Japan,M,33,Yes,No,Nepal,1983,Win,Dec,16,9:00
156,EVER,Kazunari Murakami,Japan,M,28,Yes,No,Nepal,1983,Win,Dec,16,10:30
157,EVER,"Nawang Yonden Sherpa (Beding, Dolakha)",Nepal,M,31,Yes,No,Nepal,1983,Win,Dec,16,10:30
158,EVER,Christo Ivanov Prodanov,Bulgaria,M,41,No,Yes,Nepal,1984,Spr,Apr,20,18:15
159,EVER,Metodi Stefanov Savov,Bulgaria,M,36,Yes,No,Nepal,1984,Spr,May,8,17:15
160,EVER,Ivan Georgiev Valtchev,Bulgaria,M,36,Yes,No,Nepal,1984,Spr,May,8,17:15
161,EVER,Kiril Dimitrov Doskov,Bulgaria,M,25,Yes,No,Nepal,1984,Spr,May,9,10:15
162,EVER,Nikolay Mihaylov Petkov,Bulgaria,M,25,Yes,No,Nepal,1984,Spr,May,9,10:15
163,EVER,Phu Dorjee Sherpa,India,M,34,Yes,No,Nepal,1984,Spr,May,9,12:30
164,EVER,Bachendri Pal,India,F,29,Yes,No,Nepal,1984,Spr,May,23,13:07
165,EVER,"Ang Dorje Sherpa (Thamo, Khumbu)",Nepal,M,35,No,No,Nepal,1984,Spr,May,23,13:07
166,EVER,Dorje Lhatoo Sherpa,India,M,39,Yes,No,Nepal,1984,Spr,May,23,13:07
167,EVER,Sonam Palzor Sarapa,India,M,40,Yes,No,Nepal,1984,Spr,May,23,13:22
168,EVER,Timothy John Macartney-Snape,Australia,M,28,No,No,China,1984,Aut,Oct,3,20:15
169,EVER,Gregory (Greg) Mortimer,Australia,M,31,No,No,China,1984,Aut,Oct,3,20:15
170,EVER,Zoltan Demjan,Czechoslovakia,M,29,No,No,Nepal,1984,Aut,Oct,15,15:15
171,EVER,Jozef Psotka,Czechoslovakia,M,50,No,Yes,Nepal,1984,Aut,Oct,15,15:15
172,EVER,"Ang Rita Sherpa (Yilajung, Khumbu)",Nepal,M,36,No,No,Nepal,1984,Aut,Oct,15,15:15
173,EVER,Philip Michael (Phil) Ershler,USA,M,33,Yes,No,China,1984,Aut,Oct,20,15:45
174,EVER,Christian John Storey (Chris) Bonington,UK,M,50,Yes,No,Nepal,1985,Spr,Apr,21,9:30
175,EVER,Odd Eliassen,Norway,M,40,Yes,No,Nepal,1985,Spr,Apr,21,9:30
176,EVER,Bjorn Age Myrer-Lund,Norway,M,33,Yes,No,Nepal,1985,Spr,Apr,21,9:30
177,EVER,"Dawa Norbu Sherpa (Yilajung, Khumbu)",Nepal,M,27,Yes,No,Nepal,1985,Spr,Apr,21,9:30
178,EVER,"Lhakpa Dorje (Ang Lhakpa) Sherpa (Khunde, Khumbu)",Nepal,M,26,Yes,No,Nepal,1985,Spr,Apr,21,9:30
179,EVER,"Pertemba Sherpa (Khumjung, Khumbu)",Nepal,M,37,Yes,No,Nepal,1985,Spr,Apr,21,9:30
180,EVER,Stein P. Aasheim,Norway,M,34,Yes,No,Nepal,1985,Spr,Apr,29,9:25
181,EVER,Ralph Hoibakk,Norway,M,47,Yes,No,Nepal,1985,Spr,Apr,29,9:25
182,EVER,Arne Ludwig R. Naess Jr.,Norway,M,47,Yes,No,Nepal,1985,Spr,Apr,29,9:25
183,EVER,Havard Nesheim,Norway,M,29,Yes,No,Nepal,1985,Spr,Apr,29,9:25
184,EVER,"Ang Rita Sherpa (Yilajung, Khumbu)",Nepal,M,36,No,No,Nepal,1985,Spr,Apr,29,9:25
185,EVER,"Chowang Rinzi Sherpa (Namche Bazar, Khumbu)",Nepal,M,35,Yes,No,Nepal,1985,Spr,Apr,29,9:25
186,EVER,"Pema Dorje Sherpa (Khumjung, Khumbu)",Nepal,M,26,Yes,No,Nepal,1985,Spr,Apr,29,9:25
187,EVER,"Sungdare Sherpa (Pangboche, Khumbu)",Nepal,M,30,Yes,No,Nepal,1985,Spr,Apr,29,9:25
188,EVER,Richard Daniel (Dick) Bass,USA,M,55,Yes,No,Nepal,1985,Spr,Apr,30,
189,EVER,David Finlay Breashears,USA,M,29,Yes,No,Nepal,1985,Spr,Apr,30,
190,EVER,"Ang Phurba Sherpa (Thami, Khumbu)",Nepal,M,23,Yes,No,Nepal,1985,Spr,Apr,30,
191,EVER,Oscar Cadiach Puig,Spain,M,32,Yes,No,China,1985,Sum,Aug,28,18:20
192,EVER,"Ang Karma Sherpa (Dhorphu, Salleri, Solukhumbu)",Nepal,M,26,Yes,No,China,1985,Sum,Aug,28,18:20
193,EVER,Narayan Kumar Shrestha,Nepal,M,25,Yes,No,China,1985,Sum,Aug,28,18:20
194,EVER,Antoni Sors Ferrer,Spain,M,35,Yes,No,China,1985,Sum,Aug,28,18:20
195,EVER,"Shambu Tamang (Lisankhu, Sindhupalchowk)",Nepal,M,29,Yes,No,China,1985,Sum,Aug,28,18:20
196,EVER,Carles Valles Ocana,Spain,M,27,Yes,No,China,1985,Sum,Aug,28,18:20
197,EVER,Etsuo Akutsu,Japan,M,47,Yes,No,Nepal,1985,Aut,Oct,30,
198,EVER,Satoshi Kimoto,Japan,M,29,Yes,No,Nepal,1985,Aut,Oct,30,
199,EVER,Hideji Nazuka,Japan,M,30,Yes,No,Nepal,1985,Aut,Oct,30,
200,EVER,Teruo Saegusa,Japan,M,28,Yes,No,Nepal,1985,Aut,Oct,30,
201,EVER,Mitsuyoshi Sato,Japan,M,24,Yes,No,Nepal,1985,Aut,Oct,30,
202,EVER,Kuniaki Yagihara,Japan,M,38,Yes,No,Nepal,1985,Aut,Oct,30,9:50
203,EVER,Noboru Yamada,Japan,M,35,No,No,Nepal,1985,Aut,Oct,30,10:00
204,EVER,Dwayne Congdon,Canada,M,29,Yes,No,China,1986,Spr,May,20,21:00
205,EVER,Sharon Wood,Canada,F,29,Yes,No,China,1986,Spr,May,20,21:00
206,EVER,Erhard Loretan,Switzerland,M,27,No,No,China,1986,Sum,Aug,30,14:30
207,EVER,Jean Fernand Troillet,Switzerland,M,38,No,No,China,1986,Sum,Aug,30,14:30
208,EVER,Young-Ho Heo,S Korea,M,33,Yes,No,Nepal,1987,Win,Dec,22,14:20
209,EVER,"Ang Rita Sherpa (Yilajung, Khumbu)",Nepal,M,39,No,No,Nepal,1987,Win,Dec,22,14:20
210,EVER,Tsering Dorje (Cerin Duoji) ,China,M,27,Yes,No,China,1988,Spr,May,5,9:30
211,EVER,"Lhakpa Nuru (Ang Lhakpa) Sherpa (Khunde, Khumbu)",Nepal,M,24,Yes,No,China,1988,Spr,May,5,9:30
212,EVER,Noboru Yamada,Japan,M,38,Yes,No,China,1988,Spr,May,5,9:30
213,EVER,Zhi-Xin Li,China,M,25,Yes,No,China,1988,Spr,May,5,10:30
214,EVER,"Lhakpa Sonam Sherpa (Phortse, Khumbu)",Nepal,M,31,Yes,No,China,1988,Spr,May,5,10:45
215,EVER,Munehiko Yamamoto,Japan,M,28,Yes,No,China,1988,Spr,May,5,11:00
216,EVER,Shoji Nakamura,Japan,M,45,Yes,No,China,1988,Spr,May,5,11:15
217,EVER,Susumu Nakamura,Japan,M,42,Yes,No,China,1988,Spr,May,5,11:15
218,EVER,Teruo Saegusa,Japan,M,30,Yes,No,China,1988,Spr,May,5,11:15
219,EVER,Da Ciren (Da Cering) ,China,M,37,Yes,No,China,1988,Spr,May,5,12:48
220,EVER,Rinchen Phuntsok (Rinchen Phinzo) ,China,M,44,Yes,No,China,1988,Spr,May,5,12:48
221,EVER,"Ang Phurba Sherpa (Thami, Khumbu)",Nepal,M,26,Yes,No,China,1988,Spr,May,5,12:48
222,EVER,"Sungdare Sherpa (Pangboche, Khumbu)",Nepal,M,33,Yes,No,China,1988,Spr,May,10,
223,EVER,"Padam Bahadur Tamang (Chuchure, Ramechap, Janakpur)",Nepal,M,33,Yes,No,China,1988,Spr,May,10,
224,EVER,Stephen Malcolm Westmacott Venables,UK,M,34,No,No,China,1988,Spr,May,12,15:40
225,EVER,Paul Bayne,Australia,M,31,Yes,No,Nepal,1988,Spr,May,25,12:30
226,EVER,Patrick Alexander Cullinan,Australia,M,37,Yes,No,Nepal,1988,Spr,May,25,14:30
227,EVER,John Robert Muir,Australia,M,27,Yes,No,Nepal,1988,Spr,May,28,11:15
228,EVER,Jean-Marc Boivin,France,M,37,Yes,No,Nepal,1988,Aut,Sep,26,14:30
229,EVER,Jean-Pierre Frachon,France,M,41,Yes,No,Nepal,1988,Aut,Sep,26,14:30
230,EVER,Andre Georges,Switzerland,M,35,Yes,No,Nepal,1988,Aut,Sep,26,14:30
231,EVER,Chang-Sun Kim,S Korea,M,28,Yes,No,Nepal,1988,Aut,Sep,26,14:30
232,EVER,Michel Metzger,France,M,39,No,No,Nepal,1988,Aut,Sep,26,14:30
233,EVER,"Ajiwa Sherpa (Thami, Khumbu)",Nepal,M,35,Yes,No,Nepal,1988,Aut,Sep,26,14:30
234,EVER,"Pasang Tshering/Tshiring Sherpa (Beding, Dolakha)",Nepal,M,25,Yes,No,Nepal,1988,Aut,Sep,26,14:30
235,EVER,"Pema Dorje Sherpa (Khumjung, Khumbu)",Nepal,M,30,Yes,No,Nepal,1988,Aut,Sep,26,14:30
236,EVER,"Sonam Tshering Sherpa (Beding, Dolakha)",Nepal,M,28,Yes,No,Nepal,1988,Aut,Sep,26,14:30
237,EVER,Hong-Gil Um,S Korea,M,28,Yes,No,Nepal,1988,Aut,Sep,26,14:30
238,EVER,Gerard Vionnet-Fausset,France,M,34,Yes,No,Nepal,1988,Aut,Sep,26,14:30
239,EVER,Marc Batard,France,M,36,No,No,Nepal,1988,Aut,Sep,26,15:30
240,EVER,Byung-Ho Chang,S Korea,M,27,Yes,No,Nepal,1988,Aut,Sep,29,8:30
241,EVER,Bong-Wan Jang,S Korea,M,36,Yes,No,Nepal,1988,Aut,Sep,29,8:30
242,EVER,Seung-Kwon Chung,S Korea,M,27,Yes,No,Nepal,1988,Aut,Sep,29,10:00
243,EVER,Stacy Marie Allison,USA,F,29,Yes,No,Nepal,1988,Aut,Sep,29,10:30
244,EVER,"Pasang Gyalgen Sherpa (Thumbuk (Jorsali), Khumbu)",Nepal,M,26,Yes,No,Nepal,1988,Aut,Sep,29,10:40
245,EVER,Sun-Woo Nam,S Korea,M,33,Yes,No,Nepal,1988,Aut,Oct,2,10:00
246,EVER,"Dawa Tshering Sherpa (Gumela (Rimijung), Khumbu)",Nepal,M,21,Yes,No,Nepal,1988,Aut,Oct,2,10:00
247,EVER,"Nima Tashi Sherpa (Pangboche, Khumbu)",Nepal,M,28,Yes,No,Nepal,1988,Aut,Oct,2,10:00
